goos: linux
goarch: amd64
pkg: jsonbench
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkMarshalAny/json/citm_catalog      	     361	   3283161 ns/op	 152.39 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     378	   3237501 ns/op	 154.54 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     373	   3282380 ns/op	 152.42 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     250	   4028600 ns/op	 124.19 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     375	   3237229 ns/op	 154.55 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     952	   1248802 ns/op	 373.88 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     964	   1256526 ns/op	 371.58 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     968	   1258279 ns/op	 371.07 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     972	   1263030 ns/op	 369.67 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     946	   1269633 ns/op	 367.75 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     967	   1248011 ns/op	 374.12 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     897	   1256730 ns/op	 371.52 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	     901	   1255647 ns/op	 371.85 MB/s	  467046 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     139	   8684003 ns/op	 240.70 MB/s	 2097271 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     140	   8606289 ns/op	 242.87 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     141	   8516742 ns/op	 245.43 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     139	   8501342 ns/op	 245.87 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     140	   8468678 ns/op	 246.82 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     139	   8542130 ns/op	 244.70 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     140	   8484996 ns/op	 246.34 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     140	   8478255 ns/op	 246.54 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     429	   2734966 ns/op	 182.93 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     436	   2713208 ns/op	 184.39 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     439	   2756952 ns/op	 181.47 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     465	   2677304 ns/op	 186.87 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     464	   2742713 ns/op	 182.41 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     415	   2806742 ns/op	 178.25 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     464	   2553762 ns/op	 195.91 MB/s	  508077 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     477	   2540969 ns/op	 196.89 MB/s	  508077 B/op	      16 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11547381 ns/op	 103.87 MB/s	 5091742 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11583017 ns/op	 103.55 MB/s	 5091695 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11509937 ns/op	 104.21 MB/s	 5091698 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11307480 ns/op	 106.08 MB/s	 5091699 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11578406 ns/op	 103.59 MB/s	 5091691 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     100	  11492391 ns/op	 104.37 MB/s	 5091694 B/op	   50212 allocs/op
