goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkMarshalAny/json/citm_catalog      	     572	   1965428 ns/op	 254.55 MB/s	  509199 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     571	   2023933 ns/op	 247.20 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     613	   1931633 ns/op	 259.01 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     632	   1932348 ns/op	 258.91 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     648	   1939449 ns/op	 257.96 MB/s	  508264 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     616	   1931516 ns/op	 259.02 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     582	   1948286 ns/op	 256.79 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     643	   1882774 ns/op	 265.73 MB/s	  508265 B/op	      27 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1356	    869787 ns/op	 536.80 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1380	    861768 ns/op	 541.80 MB/s	  467045 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1365	    871472 ns/op	 535.77 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1363	    866686 ns/op	 538.73 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1418	    853530 ns/op	 547.03 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1356	    859141 ns/op	 543.46 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1423	    859349 ns/op	 543.33 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/twitter         	    1387	    868205 ns/op	 537.78 MB/s	  467044 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     232	   5173620 ns/op	 404.02 MB/s	 2097271 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     238	   5038489 ns/op	 414.85 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     236	   5027600 ns/op	 415.75 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     237	   5016355 ns/op	 416.68 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     237	   5040661 ns/op	 414.67 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     236	   5070872 ns/op	 412.20 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     242	   5013501 ns/op	 416.92 MB/s	 2097271 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/canada          	     240	   5010738 ns/op	 417.15 MB/s	 2097270 B/op	       7 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     672	   1692033 ns/op	 295.68 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     726	   1663076 ns/op	 300.83 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     734	   1659690 ns/op	 301.44 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     732	   1665631 ns/op	 300.37 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     726	   1665993 ns/op	 300.30 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     742	   1680019 ns/op	 297.79 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     739	   1661675 ns/op	 301.08 MB/s	  508076 B/op	      16 allocs/op
BenchmarkMarshalAny/jsonv2/citm_catalog    	     723	   1677790 ns/op	 298.19 MB/s	  508076 B/op	      16 allocs/op
BenchmarkUnmarshalRecords/json             	     198	   6084184 ns/op	 197.14 MB/s	 5091711 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     198	   6102142 ns/op	 196.56 MB/s	 5091684 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     195	   6118775 ns/op	 196.03 MB/s	 5091683 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     194	   6147805 ns/op	 195.10 MB/s	 5091683 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     198	   6059480 ns/op	 197.95 MB/s	 5091685 B/op	   50212 allocs/op
BenchmarkUnmarshalRecords/json             	     193	   6172914 ns/op	 194.31 MB/s	 5091683 B/op	   50212 allocs/op
